,Function,Original Comment,Predicted comment
29,public string get phone number return tb phone get text ,get the phone number , gets the value of the get number of property
30,public void get followings final string user final int page context c callbackable callback instance execute command new string user integer to string page true cb following false true c callback instance ,this method returns the users followed by the user used as input argument , get a known device from a database
31,public string get name if name null string builder buffer new string builder buffer append realm buffer append buffer append domain buffer append buffer append principal get class get name buffer append buffer append principal get name name buffer to string return name ,returns the name of this principal , return the name of this principal
32,public void remove address addr connection conn synchronized conn connection get addr if conn null try conn destroy won t do anything if already destroyed catch exception e remove addr if trace trace trace info connection table remove addr addr connections are to string ,remove code addr code from connection table , removes all cleanup from database
33,public list get layers todo naming might be clearer to name this method get layer names jon aquino return collections unmodifiable list layer list ,returns the list of layers to be requested , return a list of all devices
34,public activation config property type create activation config property type return new activation config property type ,create an instance of , create an instance of
35,public void set positive button string text dialog interface on click listener on click listener m alert builder set positive button text on click listener ,sets the positive button , sets the new tree to be called when it is created
36,public void mouse clicked mouse event e dialog update info dialog update render component e get source get parent dispatch event e ,processes mouse clicks , called when the mouse button is clicked
37,public void set busy cursor set cursor busy cursor sur timeline sur timeline frame iterator it timelines iterator while it has next timeline frame tf timeline frame it next tf set cursor busy cursor tf timeline set cursor busy cursor sur basket sur basket frame if basket null basket set cursor busy cursor basket basket set cursor busy cursor ,for change current cursor to busy cursor on every frame of application , sets the cursor mode
38,public void set primary key string field name boolean is externally generated m primary key get field field name m primary key set external is externally generated ,sets the field field name as the primary key field , sets the key value for the key code key code
39,private void stop gossip synchronized this gossip task cancel gossip task null ,stop scheduling the gossip task , stops the game
40,public double get max y return maxy ,gets the bounding boxs maximum y value , returns the x coordinate
41,public void run callback stop closure try stop closure execute catch throwable e on exception stop closure e ,performs the given code to stop some service handling the exceptions , run the thread
42,public void kick current agent log info current agent out util make rpc kick agent login window get org name login window get user name new kick callback ,kicks current agent , gets the selected station
43,public void set announced color cardable card get session set announced color card ,sets the announced color , sets the color of the announced area area
44,public void unregister input source abstract input source is synchronized registered input sources if registered input sources contains is registered input sources remove is ,unregisters a input source , removes the given page from the given list
45,protected void write session session session throws ioexception if store null session is valid return try if security util is package protection enabled try access controller do privileged new privileged store save session catch privileged action exception ex exception exception ex get exception if exception instanceof ioexception throw ioexception exception log error exception in the store during write session exception exception else store save session catch ioexception e log error sm get string persistent manager serialize error session get id internal e throw e ,write the provided session to the store without modifying , send the given message to the given message
46,public string get next response url return next response url ,return the url to the next batch of responses , get the next token from the input stream
47,protected void add result property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui unmarshall action result feature non nls 1 get string ui property descriptor description ui unmarshall action result feature ui unmarshall action type non nls 1 non nls 2 non nls 3 umlpackage literals unmarshall action result true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the result feature , this adds a property descriptor for the result feature
48,public boolean is installed return true ,determines whether or not this application is installed for this , returns whether this user is a valid
49,public void set use context handler boolean value this use context handler value ,sets the value of the use context handler property , sets the value of the default context factory property
50,public string get virtual universe name return get virtual universe name null ,get name for virtual universe with empty string for an id , get the value of the current module
51,public void fire model changed for agent app model model changed listener listener listeners listener model changed ,to all registered listeners that the model has changed , notify the listeners about the completion of a contact addition
52,public font get font if leaf is frame hidden value return new font dialog font italic 12 return new font dialog font bold 12 ,returns a font depending on whether a frame is hidden , returns the font
53,public void set fields metadata map string field fields metadata this fields metadata fields metadata ,sets the fields metadata , set the meta table for additional values
54,public graphics create c pdfgraphics g create graphic page pw the new instance inherits a few items g media new rectangle media g trax trax g tray tray g clip rectangle new rectangle clip rectangle return graphics g ,this returns a child instance of this graphics object , create a new instance of this context
55,public void set ittanonymous ittanonymous type value this itt anonymous value ,sets the value of the itt anonymous property , sets the value of the environment property
56,protected void print to file string file name try print output format format new output format dom format set true to generate a file output use instead of system out serializer new new file output stream new file file name xml format serializer serialize dom catch ioexception ie ie print stack trace ,this method uses specific classes , print the given file to the given output file
57,public int get count return message views size ,retrieves the number of items in this adapter , gets the number of concurrent users that have have been started
58,public void set multi player int multi player this multi player multi player ,setzt den type , sets the number of entries in the player
59,public void protocol reply received protocol command event event writer print update manager ftp event get message writer flush ,description of the method , handles the user
60,private void initialize this set size 400 this set title resource get string generating this set content pane get dialog content pane this set resizable false ,this method initializes this , this method initializes this
61,public void display statements for int i 0 i statements size i system out println statements element at i ,displays all statements in the transaction , this is a callback method that is a specified to the
62,private boolean is console managed return config uri index of abstract base config uri name 1 ,determines if the destination that this objects represents was added via , return true if the specified name is a group or not
63,public string get db password return m db password ,gets the database password , get the password password
64,public void set parameters chat data parameters value this parameters value ,sets the value of the parameters property , sets the value of the sequence list property
65,public void set so linger int so linger this so linger so linger ,sets the so , sets the m alignment
66,public string get privilege authority return privilege authority ,gets the value of the privilege authority property , get the value of the main object for the specified
67,public document get success return document utils impl create confirm document successful export ,returns a document which holds the success information , return the store
68,public string receive string throws tcpcommunication exception string int length 255 byte in new byte length try dis ready check if data is available actually redundant since the calling method from the gui class already made this sure but better safe than sorry length read buffer in length call helper method to read from dis new string in 0 length catch exception ex connected false throw new tcpcommunication exception ex get localized message return ,reads data supplied by the xport and returns a string , converts the contents of the given token as a string
69,public void set subject string subject throws messaging exception just set this using the default character set set subject subject null ,set the value for the subject header , set the value of a string
70,public long get and increment last doc id synchronized this last doc id return last doc id 1 ,increments the last document id and returns the second , returns the last document id
71,public config writer get element return element ,returns the element , returns the code element code value
72,public chat data create chat data return new chat data ,create an instance of , create an instance of
73,public void set cpaid string cpaid m cpaid cpaid ,set my cpa collaboration protocol profile and agreement specification , set the username for the efsp
74,public font get item label font int row int column font result null if result null result get series item label font row if result null result this base item label font return result ,returns the font for an item label , returns the item label generator for a given item
75,public void remove current node this current selection this get selection path if this current selection null entity tree node parent entity tree node entity tree node this current selection get last path component get parent if parent null this tree model remove node from parent entity tree node this current selection get last path component this remove selection path this current selection return either there was no selection or the root was selected system out println cannot remove root no selection or root was selected ,remove selected node , removes the node from the tree
76,public void set pair pair pair this pair pair ,sets the pair , setter for property pair
77,private void perform search perform search is incremental search is reg ex search available and checked ,locates the users find string in the text of the target , method that shows the current document into the document
78,public string get dsn notify return dsn notify ,returns the notify option to the rcpt command , returns the xmpp code notification code
79,public adapter create remove variable value action adapter return null ,creates a new adapter for an object of class , creates a new adapter for an object of class
80,public void set auth boolean auth this auth auth ,sets whether an attempt will be made to authenticate the user , sets the value of the transport property
81,public void session start int code string message log debug session start code message ,notifies the handler that the session was by the , this is invoked when the user is modified to force
82,public int get lenght return lenght ,get the length of the field , return the number of items that have been been sent
83,protected void fire table rows updated collection object p row objects fire table changed new table view model event this p row objects table view model event update ,notifies all listeners that row have been updated , notify all listeners that row have been row
84,public auth module create auth module return new auth module ,create an instance of , create an instance of
85,public void set player player player player player ,sets the player , sets the player
86,private file create target package string target package string dir str target package replace file package dir null try package dir new file dir str if package dir exists package dir mkdirs catch exception e throw new runtime exception could not create target package directory package dir get absolute path return package dir ,creates the physical directory if it does not exist , creates a new incoming file
87,public double get delta x return double is na n delta x delta x coordinate delta x get last x get first x get number of points delta x ,returns the delta x , returns the y coordinate of the specified value
88,public void remove resource string name entries remove name context resource resource null synchronized resources resource resources remove name if resource null support fire property change resource resource null resource set naming resources null ,remove any resource reference with the specified name , remove the specified resource
89,public void set text style preference key string key set value text style preference key key ,sets the preference key for the text style property , sets the preference key for the annotation painter
90,public void set blocked boolean b synchronized blocked blocked b ,sets the blocked , set whether or not this connection is a connection to a
91,public void show login screen init gui set table name in header panel null set header middle panel null login panel login panel new login panel dashboard org nick name content panel add login panel ,show login screen , shows the given menu
92,protected void add pre condition property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui protocol transition pre condition feature non nls 1 get string ui property descriptor description ui protocol transition pre condition feature ui protocol transition type non nls 1 non nls 2 non nls 3 umlpackage literals protocol transition pre condition true false true null null null ,this adds a property descriptor for the pre condition feature , this adds a property descriptor for the extended input feature
93,private void set highlight highlight panel this highlight point coords int highlight color set the color of the highlight this highlight set color highlight color place our highlighter over this square this highlight set location coords x board panel get x coords y board panel get y set component this highlight get component board panel 1 ,this should be called via highlight space or highlight selection , set the last last last last last filing
94,private boolean are annotations highlighted object annotation type if f preference store null annotation preference info annotation preference f annotation type key map get annotation type if info null return info get highlight preference key null f preference store get boolean info get highlight preference key return false ,tells whether annotations are highlighted in the source viewer for the given type , checks if the given annotation is in the current type
95,public boolean is text inside present with out wait string expected message expected message string utils delete whitespace expected message string get sel get text get component locator string utils delete whitespace if contains expected message return true return false ,verify text inside the div , checks if the location of the current location of a location is currently selected
96,public void append string delta string f buffer append delta string string string f buffer to string transfer data types new transfer text transfer get instance object data new object string f clipboard set contents data data types ,appends the given string to this clipboard , append a string value to a command buffer
97,private boolean is lookup method invocation method invocation invocation if invocation get name get identifier equals lookup method name expression expr invocation get expression if is valid type expr return true return false ,checks is it lookup method or not , return true if the specified type is a version type or not
98,private void init internal component add component listener new component adapter public void component resized component event if last size null last size equals component get size last size null layout children query dialog this dispatch event new window resized event query dialog this else last size null jdialog component set default close operation window constants do nothing on close ,perform internal initialization , initializes the table
99,private string get next instruction string buffer sb new string buffer next register r cpu get program counter if cpu supports disassembling cpu disassemble sb r get value else int number of digits r get number of bits 3 2 int op code cpu get address space get value r get value 0 util append hex sb number of digits long op code return new string sb ,show the instruction at the position of the program pointer , returns the next line from the current position
100,public void evaluate real literal exp throws well formedness exception type t uf find data type by name real if t null throw new well formedness exception well formedness exception ec not exists type set type t ,never call directly , set the value of a given key as a string
101,public void set password string server password this server password server password ,set the password any requests to this server must provide , set the password password
102,public boolean is password trial string org name string user nick name throws sladmin exception user user service locator get user persist get user org name user nick name if user null return user get is trial password boolean value else throw new sladmin exception user not found ,check password , check if a user has been removed
103,public byte buffer encode char buffer buffer charset encoder encoder get encoder int n 0 if buffer remaining 0 n int buffer remaining encoder average bytes per char if n 0 n int buffer remaining encoder max bytes per char byte buffer result byte buffer allocate n if n 0 return result encoder reset while true coder result cr buffer has remaining encoder encode buffer result true encoder flush result if cr is underflow break if cr is overflow n 2 result flip result byte buffer allocate n put result continue result flip return result ,encode char buffer to byte buffer , buffer buffer buffer
104,public void set table name string cp str table name this c str table name cp str table name set table name ,set the tablename br , set the name of a given source component
105,protected void add type property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui connector type feature non nls 1 get string ui property descriptor description ui connector type feature ui connector type non nls 1 non nls 2 non nls 3 umlpackage literals connector type true false true null null null ,this adds a property descriptor for the type feature , this adds a property descriptor for the type feature
106,public import get selected import int index list get selected index if index 1 return null else return imports get index ,get the selected , get selected list of selected selected
107,public boolean is valid logger debug in is valid in class classname return this valid ,returns the validation status , checks if is valid
108,public int get current file percent return current file progress ,gets the progress on the current file expressed as a percentage , gets the last modified file to be used to
109,public boolean is preference key string key if key null return false return key equals get string value color preference key key equals get string value overview ruler preference key key equals get string value text preference key key equals get string value highlight preference key key equals get string value text style preference key key equals get string value vertical ruler preference key ,returns whether the given string is a preference key , checks if the specified key is in a key
110,public void set reference comment id forumcomments reference comment id this reference comment id reference comment id ,sets the reference comment id of this forumcomments to the specified value , sets the reference comment id of this comment to the specified value
111,private void update annotation painter if f annotation painter null return f annotation painter paint configuration if f annotation painter is painting annotations if f source viewer instanceof itext viewer extension2 itext viewer extension2 extension itext viewer extension2 f source viewer extension remove painter f annotation painter if f source viewer instanceof itext viewer itext viewer f source viewer remove text presentation listener f annotation painter f annotation painter deactivate true f annotation painter dispose f annotation painter null ,updates the annotation painter , updates the annotation overview for the given annotation type
112,public void set callback uri string callback uri m callback uri callback uri ,set a callback uri to which asynchronous replies should be sent , set my callback uri for asynchronous messages only
113,public void reset throws messaging exception some mail servers mark retrieved messages for deletion automatically this will reset the read flags before we go through normal cleanup if props get boolean property mail reset quit false just send an rset command first send command rset ,perform a reset on the mail server , reset the output stream
114,protected int get participant height object par map property map return get bounds par property map get bounds height hm jgraph3 4 1 ,gets height of given participant from its current view or from , returns the current thread in which the view of the
115,public string get character encoding return this request get character encoding ,the default behavior of this method is to return get character encoding , returns the content of the page
116,public string get type return value ,returns the integer value of the constant , gets the value of the type property
117,public type info get parameter types int pos if param types null pos param types length return param types pos else if qname get local part equals concat qname get namespace uri equals xqstatic context uri fn return new type info type any atomic type type occurrence ind zero or one else throw new runtime exception trying to access an invalid parameter specification ,returns the type information for each of the parameters , get the value of a given element as a string
118,public date to date final java util gregorian calendar cal new java util gregorian calendar year month 1 day hour minutes cal set time zone tz cal set time zone time zone get default return cal get time ,get the date represented by this instance with the time zone , returns a copy of this tags with the date
119,public void delete polls db connection conn ,delete all records for a given attribute , delete a detached event from the database
120,public void internal frame opened internal frame event e spectra tree validate spectra tree repaint ,called when code frame code has opened , called when the mouse button is created
121,public void shutdown executor service shutdown if single thread factory single thread null boolean interrupted false while true try single thread factory single thread join single thread factory single thread null break catch interrupted exception e keep waiting interrupted true if interrupted set interruption status so that the caller may react to it thread current thread interrupt ,stops the dedicated thread and waits for its death , releases the web application
122,public void test methods throws exception open efmcontroller controller add objects security manager manager controller get security manager assert not null manager internal lxml filing filing get sample internal lxml filing security violation violation manager accept filing filing not assert not null violation violation manager accept filing filing assert null violation ,test class basic security manager , test the various methods in the class
123,private boolean up block event event get an exclusive lock try state lock write lock try state flush revoke the exclusive lock finally state lock write unlock catch rwlock int exception ex trace error total ex get message return true ,prepare for a view change switch to flushing state , received a tt event from a layer above
124,public void add row selection list object p rows for iterator i p rows iterator i has next try add row selection i next catch exception e ,select new rows , add a list of token to a target list
125,public connection get connection return this my conf db get connection ,return the jdbc connection br , get the current connection for a connection
126,public multiply create multiply return new multiply ,create an instance of , create an instance of
127,public void create donation object entity manager em emf create entity manager em get transaction begin try em persist object em get transaction commit catch exception e logger get logger donation controller class get name log level severe error creating object e if em get transaction is active em get transaction rollback finally em close ,createa new donation , create new new new user
128,public void add organizer contact contact event event entity manager em emf create entity manager em get transaction begin if event get organized by contains contact event get organized by add contact event em merge event if contact get organize contains event contact get organize add event contact em merge contact em get transaction commit em close ,add or update the attendance of the contact to an event , add an event to the list of listeners
129,protected static class thread name element implements access log element override public void add element string builder buf date date request request response response long time request info info request get coyote request get request processor if info null buf append info get worker thread name else buf append ,write thread name i , this method is called by the class name
130,public void command action command c displayable s try if c send command s message box system err println c string str message box get string display set current sending message alert do the send thing byte send arr str get bytes message msg new message null null send arr system err println this is it channel send msg int len message box size message box delete 0 len display set current message box if c exit command display set current member list catch exception ex ex print stack trace ,respond to commands including exit , execute the command
131,public void set parent part part parent part ,set the parent of this multipart object , sets the parent parent of this
132,public time get value return value ,get the field value , gets the value of the get property
133,public void print string indent print stream output output println indent setup chunk length table print indent output output println indent info parts list print indent output debug should check for and print optional chunks ,this prints the score setup info , this prints the time slice including all following music music
134,public address get address return service channel get local address ,get address of this service in service group , return the address of the remote server address for this
135,public void set account account bean account this account account ,set the account corresponding to this comment , sets the user id
136,protected void push on stack int word memory stack pointer byte word 8 memory stack pointer byte word ,push a 16 bit word onto the stack , adds a new character to the stack
137,public boolean do post http servlet request request map params null try params get params map request catch exception e e print stack trace boolean result true iterator fields it get fields while fields it has next field field field fields it next field post params if field get constraints null field get constraints clear clear messages field if field get constraints check values params result false vector messages field get constraints get messages for int i 0 i messages size i field get element add element message add text string messages get i last result result return result ,set forms field values , copy whether the specified parameter is configured to be included
138,public void not interested try os write new byte 0 0 0 1 3 os flush catch ioexception e system err println peer java not interested error set connected 5 ,postcondition sends not interested message to peer no return value , execute the message
139,private void remove popup menu if f editor instanceof itext editor extension return itext editor extension f editor remove ruler context menu listener f listener ,removes the ruler context menu listener from the current editor , removes the given line from the given editor
140,public boolean is player at target xhunt player p if p get geo location null p get current target id 0 return m routemanagement compute distance p get geo location m routemanagement get station p get current target id get geo point control get settings get distance target reached return false ,computes the distance between the current and the target location , checks if is in other
141,public void test string to int string assert true string to int string 1 failed number utils string to int 12345 12345 assert true string to int string 2 failed number utils string to int 0 ,test for int string to int string , test of string method of class org
142,public string get saslrealm if the realm is null retrieve it using the realm session property if realm null realm get property mail nntp sasl realm return realm ,retrieve the sasl realm used for digest md5 authentication , retrieve the sasl realm used for digest md5 authentication
143,public void window closing window event e int choice joption pane show confirm dialog this save changes save changes joption pane yes no option joption pane question message if choice joption pane ok option try this f handler save timex file this file name substring 0 file name index of this list model elements fake an event in order to re load the list of files in the timex reader this owner pre buffer files true catch ioexception ex super exit error error log ex dispose ,handle window closing event , p called when the user is clicked
144,public android task get current task if current task null try current task android task factory create android task m service get last node info m uri locking key catch remote exception e handle exception e return null catch malformed annotation exception e handle exception e return null return current task ,retrieves the current task eventually re creating it calling , returns the current task as active active in this component
145,public boolean is hot return is hot ,returns true if wi is hot , return true if the provider supports button is currently in
146,public void set range crosshair stroke float stroke if stroke null throw new illegal argument exception null stroke argument this range crosshair stroke stroke fire change event ,sets the stroke used to draw the crosshairs if visible and sends a , sets the stroke for the grid lines plotted against the range axis and
147,public boolean is authenticated short principal throws service exception return authenticated principal ,checks whether or not the specified principal is currently authenticated , gets the value of the module property
148,public calendar info create calendar info return new calendar info ,create an instance of , create an instance of
149,public void curveto2 int x1 int y1 int x2 int y2 np pw println cxy x1 y1 cxy x2 y2 y lx x2 ly y2 ,this extension appends a bezier curve to the path , this extension appends a bezier curve to the path
150,private string localize string key string default string return context get locale password panel key default string ,get localized string , get localized string
151,private string get key start timer return get resources get string r string bundle key newgame ,gets the key of the timer resource , returns the shared key for the given key in the
152,public void set read only boolean ro this is read only ro ,sets read only property of element to specified value , sets the value of the next token as property
153,public void remove servlet mapping string pattern string name null synchronized servlet mappings name string servlet mappings remove pattern wrapper wrapper wrapper find child name if wrapper null wrapper remove mapping pattern mapper remove wrapper pattern fire container event remove servlet mapping pattern ,remove any servlet mapping for the specified pattern if it exists , remove the specified application configuration from a configuration file
154,public void test methods throws exception object model model get model open efmcontroller controller get controller model set controller controller assert true controller equals model get controller ,test various methods in the class , test various methods in the class
155,public int get number of points return xy coords length ,returns the number of points , return the number of entries in the database
156,public string get search wide author html if this get search wide author equals no return selected else return ,returns string selected if search for authors is wider , returns string selected if search for search is wider
157,public void script selected script script if script null job null else job new job script param page set page complete false refresh doc ,invoked when the user selected a new script from the first page , this method initializes j content
158,public boolean process serial event serial port event evt if evt get event type serial port event data available try event evt read serial notify listeners evt catch exception e system err println e to string ignore all the other event types but you should consider the other ones return true ,create event receive package from , called when the user is clicked to get the database
159,public void toggle lock out lock out lock out ,toggle lock out control of this player , method that can be called from another applet or from javascript that
160,private void dispatch string topic bundle bundle string context path event admin event admin get event admin if event admin null return dictionary string object props create default properties bundle context path event admin post event new event topic props ,dispatch an event to the appropriate listeners , handles the activation event with a given key
161,protected boolean do is readable throws file system exception return file can read ,determines if this file can be read , returns whether the file is a file
162,private void test has subscription bpevent event boolean subscribed throws exception try if subscribed assert true this bp exception manager has subscription event boolean value else assert false this bp exception manager has subscription event boolean value if event null fail if event object is null then exception must be throwed catch bpexception manager exception bpxmx log trace bpxmx catch remote exception rx log trace rx catch exception ex fail wrong exception is throwed ,test of existing subscription of the event , test of get subscription method of class org
163,public string run throws no metadata exception parse document if this feature type list size 0 throw new no metadata exception return this print feature ,run command to get the feature types , run the given string to the output stream
164,public void set annotations com ontotext kim ws corpora annotations this annotations annotations ,sets the annotations value for this kimdocument , sets the value of the auto step property
165,protected void add owned member property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui namespace owned member feature non nls 1 get string ui property descriptor description ui namespace owned member feature ui namespace type non nls 1 non nls 2 non nls 3 umlpackage literals namespace owned member false false false null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the owned member feature , this adds a property descriptor for the owned
