,Function,Original Comment,Predicted comment
22,public void set target reached boolean reached m image view reached target set background resource reached r drawable ic flag green r drawable ic flag red ,toggle icon related to own player has reached his target or not , sets whether minimum target should be displayed
23,public void set visible boolean b if b instances size 1 wizard instances get 0 run controller return super set visible b ,show wizard dialog , set whether or not this message is a or not
24,protected void add decomposed as property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui lifeline decomposed as feature non nls 1 get string ui property descriptor description ui lifeline decomposed as feature ui lifeline type non nls 1 non nls 2 non nls 3 umlpackage literals lifeline decomposed as true false true null null null ,this adds a property descriptor for the decomposed as feature , this adds a property descriptor for the is replace feature
25,private void enable ui view main view find view by id r id main view back dissolve new alpha animation 0 0f 1 0f back dissolve set duration 3000 main view set animation back dissolve main view set visibility view visible tab widget widget main tab host get tab widget widget set enabled true ,enables the main view after the application is connected to jade , this method initializes tree panel
26,public void test accessors throws exception simple lxml validator validator new simple lxml validator validator set dtd file dtd file path assert equals dtd file path validator get dtd file ,test the accessors in simple lxml validator , test the accessors in class simple file
27,protected boolean is filtered completion proposal proposal if is ignored proposal get kind return true char declaring type get declaring type proposal return declaring type null type filter is filtered declaring type ,returns code true code if code proposal code is filtered e , checks whether the given type is valid
28,public boolean is instance all minden instance t return instance type equals ignore case all ,megvizsgalja az instance tipusat , returns code true code if this object is a
29,protected boolean is session property true string name string property session get property name if property null return property equals true return false ,process a session property as a boolean value returning either true or , process a session as a boolean value
30,public void start location sync final int minutes my location engine start location sync minutes string current location meemi droid application prefs get last know location if null current location location engine onlyduringmessagesending minutes post location current location ,this method starts the synchronization of the user location with the , start the start of the thread
31,public boolean get local mode return local mode ,returns the local mode value , returns whether this user is a valid
32,public char get read status return read status ,gets the read status of the message , returns the status of the status code input code
33,public void draw graphics g int x int y int width int height g translate x m x offset y m y offset set clip boolean vis is visible if vis set visible true set size width height do layout boolean tmp db m double buffer m double buffer false paint g m double buffer tmp db set visible vis ,implementation of the generic interface , draws the coordinates
34,public void hide super hide dialog boxes remove this ,hides the dialog , shows the dialog
35,public void load reader reader try final buffered reader r new buffered reader reader string s while s r read line null engine eval s r close catch final ioexception e system err println e to string catch script exception e system err println e to string ,execute a reader stream of java script , load the output stream
36,public set updated objects throw new runtime exception stub ,nsset updated objects , nsarray objects in set set of set set objects set set set
37,public quaternion get attitude return sc q ,get the spacecraft attitude quaternion , return the number of bytes in the output
38,public void set tag string tag set tag tag ,set the string tag for this transaction , sets the value of the xml tag property
39,public int get count of dto interface par dto throws wdbmgr exception if this my sqlmanager null this my sqlmanager new sqlmanager this db config file return this my sqlmanager get count of par dto ,return number of entries inside the specific database table br , number of entries in database table
40,public void fire contact remove completed msn contact contact for msn contact list listener listener contact list listeners listener contact remove completed this contact ,notify the listeners about the completion of a contact removal , notify the listeners about the contact list
41,private void register bluetooth if m bluetooth adapter is enabled string mac address m bluetooth adapter get address string screen name twitter request get my screen name this matching server register screen name mac address else intent enable new intent bluetooth adapter action request enable start activity for result enable request enable bt ,bluetooth mac address , register a new change
42,public int get xheight int size return get character set size get xheight ,the x height the height of the letter x , returns the number of the first characters in the
43,public void cancel if m time out timer null m progress dialog null m time out timer cancel set default timeout handler if m progress dialog is showing try m progress dialog dismiss catch illegal argument exception e log e dialog remote loading cannot dismiss dialog e get message ,cancels the current running progress dialog and timer , this method is called when the current thread is not
44,public void add filter int column string pattern todo add filter not only set filter column column filter pattern pattern to lower case trim update filter mapping ,add the given filter on the given column , adds a new set of parameters
45,public void set time handling time value time handling this time handling time handling ,sets the handling time , sets the time
46,public void roll back to transaction trans throw new error not implemented ,roll this object back to the specified transaction , this method is called when the operation is finished
47,public int number of sections throw new runtime exception stub ,nsinteger number of sections , osstatus augraph get number of graph augraph in graph uint32 out out
48,public void add member project member member this members add member ,adds a project member to this project team , add a link to this group
49,public object dequeue pqentry pq if m ascending pq pqentry m model first else pq pqentry m model last m model remove pq return pq m object ,return the next object in the queue removing it from the queue , returns the object object that is the first object
50,public image icon get pic if image data null return generic icon if icon null icon new image icon image data return icon ,return a picture for this person from a family file , returns the image of the given image
51,protected void set sort key integer key set sort key key ,set the sort key for this association , sets the value of the key generator property
52,public void append search date date d get a formatter to create imap dates use the us locale as the dates are not localized date format formatter new date format date time strings need to be done as quoted strings because they contain blanks append string formatter format d ,format a date into the form required for imap search commands , append an array to date
53,public string get credential charset return credential charset ,gets the credential character set , gets the value of the trust generator property
54,public object get value at int column string name get filename switch column case 0 return connection get client get nick case 1 return file utils get name no extension name case 2 return file utils get extension name case 3 return file utils get path name case 4 return connection get client get host to string case 5 return connection get state to string case 6 return connection get connection info get info return empty string ,return the object at the column with the given index , find an object by its key
55,protected string get default string object default value if default value null if default value instanceof date return get default date syntax date default value else if default value instanceof boolean if boolean default value boolean value return default 1 else return default 0 else return default default value to string else return null ,this is the default value for the given column , returns the default value for the given attribute
56,public boolean supports non nullable columns throws sqlexception return true ,can columns be defined as non nullable a jdbc compliant driver always , is a column by clause
57,public object get value return ,returns an array of , returns the value of the property
58,private void set breadcrumb input isource reference element if f breadcrumb null return f breadcrumb set input element ,sets the breadcrumb input to the given element , sets the input model for this document
59,public void print initial state print lp t t0 update the universe spacetime update t loop over time equal to the sim duration while t tf step stepsize lp system out println loop finished lp close ,method used to propagate the simulation from initial to final states , print the output stream
60,public void init perform initializations inherited from our superclass super init perform application initialization that must complete before managed components are initialized editor fold defaultstate collapsed desc managed component initialization initialize automatically managed components note this logic should not be modified try init catch exception e log list initialization failure e throw e instanceof faces exception faces exception e new faces exception e editor fold perform application initialization that must complete after managed components are initialized list get session bean1 get program data provider list refresh list ,p callback method that is called whenever a page is navigated to , p callback method that is called whenever a page is navigated to
61,public void close if open open false ,close this device , close the dialog
62,private string get tag string tag string val if val null val equals return else return tag val tag ,creates an xml tag with a particular value , returns a string representation of the object
63,public double get epoch mjd utc return this mjd utc start ,returns the initial epoch in modified julian date universal coordinated , returns the total time in the date
64,public void set resource link string value this resource link value ,sets the value of the resource link property , sets the value of the resource link property
65,public void set string key boolean value throws ioexception set property key new boolean value to string ,this method stores a boolean value associated with a given key , sets the value of the key property
66,private void initialize find scope color isource viewer viewer ipreference store store get preference store if store null styled text styled text viewer get text widget color color create color store preference color find scope styled text get display ifind replace target target viewer get find replace target if target null target instanceof ifind replace target extension ifind replace target extension target set scope highlight color color if f find scope highlight color null f find scope highlight color dispose f find scope highlight color color ,initializes the background color used for highlighting the document ranges , initialize the servlet
67,public void set int header string name int value if is committed return ignore any call from an included servlet if included return set header name value ,set the specified integer header to the specified value , sets the header
68,private string get new zip repository path repository workflow bean bean throws exception string zip path new string if bean get export type equals ignore case work export type work download type graf abst real zip path workflows sep bean get download type sep if bean get export type equals ignore case proj export type proj download type all zip path projects sep if bean get export type equals ignore case appl export type appl download type all zip path applications sep return new string zip path bean get workflow id bean get export id zip ,egy zip file path , returns the file path that is a file
69,public string get form end html meta class mclass return ,not used in jsp return , return the class name of this class
70,public void set selectors string selector names string controller cont controller controller null suppress reactions on parameter changes selectors set selectors selector names controller cont ,specifies a set of combo boxes to be added to the toolbar , sets the module
71,private string buffer create file countries string buffer commands new string buffer n countries n n parameters name abbreviation language flag file n for int i 0 i common variables l countries size i commands append common variables l countries get i to command n return commands end of create commands countries ,method that creates the strings about countries to write into the hdd , method that creates the strings about players to write into the hdd
72,public string get new main abst name return new main abst name ,visszaadja az new main abstract template workflow neve t , get the password for the field
73,public xmlvm method add method xmlvm method method element clazz xmlvm document get root element get child tag class ns xmlvm element clone element method method element clone clazz add content clone return new xmlvm method clone ,add a copy of the given method to the xmlvm resource , return the code method code method that is called whenever a method
74,public adapter create start object behavior action adapter return null ,creates a new adapter for an object of class , creates a new adapter for an object of class
75,protected object get deep binding string name return null ,gets the object bound to the name , returns the value of the project
76,public void set player sheet boolean b is player sheet b ,sets if this is the players character sheet , sets whether the player is not on the game
77,public boolean inside an applet return applet null ,return code true code if the emulator runs inside an applet , override to implement confirmation for delete
78,public void disconnect throws ioexception conn close ,disconnects from remote server , deletes this message
79,public void pause app intermediate screen display get current ,remember what screen is showing , this method is called when the graph is displayed
80,public document gen clr document doc document clr doc null document clr apidoc null try clr doc run xslt jvm2clr xsl doc clr apidoc run xslt clr api xsl clr doc catch exception ex system err println ex system exit 1 return clr apidoc ,returns an xmlvm clr document based on the given xmlvm jvm , returns an enumeration of all the document in the given document
81,public void set mbean mbean m bean this m bean m bean ,sets the m bean , sets the value of the container property
82,public string get label int i if m results null run query return category m results i get name ,get the i th label , returns the label of the given string
83,public void set uri string uri set package uri uri ,sets a unique resource identifier uri for the package , sets the path of the package
84,private void init int init code locale init locale settings resource bundle get bundle resource name init locale code init code ,initialize the instance , initializes the initialization method
85,public string get string string s new string string return s ,provides access to the string of the text , returns the variable indicatd by the method name
86,private idialog settings get dialog settings idialog settings settings jscplugin get default get dialog settings string section name get class get name idialog settings sub settings settings get section section name if sub settings null sub settings settings add new section section name return sub settings ,returns the dialog settings object used to share state , returns the dialog settings for the given type
87,public boolean is executing throw new runtime exception stub ,bool is executing , bool is only
88,public string get member handle return member handle ,return the handle of the internal member to be , returns the current user
89,public void set from from f if f null throw new java lang illegal argument exception set from was sent null froms f fire query event from ,set as array , sets whether this is a not have not have not
90,private void validate simple address token stream tokens throws address exception the validation occur after addresses have been split into personal and address forms therefore our validation begins directly with the first token validate address spec tokens get the next token and see if there is something here anything but the terminator is an error address token token tokens next real token if token type end of tokens illegal address illegal address token ,validate a simple address in the form user , parse the next byte of a given token
91,public retain throw new runtime exception stub ,cgpdfscanner ref cgpdfscanner retain cgpdfscanner ref scanner , osstatus augraph set augraph in graph
92,private void init common defaults set the default temp dir try file temp file file create temp file dont care non nls 1 non nls 2 preferences util put preferences keys path to temp dir temp file get parent default scope temp file delete catch ioexception e gui plugin get warn couldn t find the default temp directory e non nls 1 ,process the initialization steps common to all , initializes the file values
93,public native element set int arg0 native element arg1 throw new unsupported operation exception ,modification of the collection is not supported , modification of the collection is not supported
94,public void unregister page resource handler page string url resource resource null content section sec new content section get content section id resource resource find resource sec url if resource null resource delete ,register a page to the content section , remove the specified folder from the package section
95,public void test get value at bug20041122 2 throws exception connection manager add connection new base connection ,i get a ex in the download tree model adapter classs , test of get option method of class org
96,public void set text attributes for not anumber map new attributes throw new runtime exception stub ,void set text attributes for not anumber nsdictionary new attributes , void set text attributes for negative infinity nsdictionary new attributes
97,public count statistic get message driven bean count return message driven bean count ,get the message driven bean count , gets the number of the error bean
98,public void set player icon id int player icon id this player icon player icon id ,sets the player icon id , sets the player id
99,public string to string string enc throws unsupported encoding exception return to string ,em encoding is ignored , returns a string representation of this object
100,public string get callback location throws soapexception soapelement element find or make header child wsdl callback uri return get text element ,return my callback uri for asynchronous messages only , return my filing as html
101,protected void fire activity removed activity activity for activity listener l activity listeners l activity removed activity ,fire activity removed event , fire fire event
102,protected boolean set socket options socket socket server socket factory init socket socket try 1 set socket options timeout linger etc socket properties set properties socket catch socket exception s error here is common if the client has reset the connection if log is debug enabled log debug sm get string endpoint err unexpected s close the socket return false catch throwable t exception utils handle throwable t log error sm get string endpoint err unexpected t close the socket return false return true ,configure the socket , this method initializes port
103,public void add copyright holder copyright holder bean new copyright holder copyright holders add new copyright holder ,adds a copyright holder to the set of copyright for , adds a copyright to the set of copyright for
104,public http session get session return get http servlet request get session ,the default behavior of this method is to return get session , returns the session id of this session
105,public boolean is from descriptor return is from descriptor ,return if this constraint was defined in a deployment descriptor , returns true if this field is no
106,public boolean change current directory path string path throw new runtime exception stub ,bool change current directory path nsstring path , void set path bool path nsstring path
107,public tags clone with direction direction direction tags tags tags clone tags direction direction return tags ,returns a copy of this tags with direction , returns a copy of this tags with the given tags
108,final protected void export attributes com arsdigita xml element target if m attr null m attr export attributes target ,adds the attributes set with , creates a new element with the given parameters
109,public avplayer item access log access log throw new runtime exception stub ,avplayer item access log access log , boolean scnetwork service service service service ref service
110,public void send boolean throws ioexception send null ,send a ping , sends a message to the underlying server
111,public void set game instance instance game instance log v add new instance game instance get instance jid m game instance game instance m vw game instance text set text host m game instance get opener m vw game instance text set text size 14 m player instance text set text m game instance get players size of m game instance get max member count players m player instance text set text size 14 ,sets the game instance , sets the image manager to use for the cache
112,public int bytes in buffer return count ,returns the number of bytes in the buffer , returns the number of bytes in the output
113,public boolean commit throws login exception log debug commit principal if authentication was not successful just return false if principal null return false add our principal to the subject if needed if subject get principals contains principal subject get principals add principal add the roles as additional as per the contract with the if principal instanceof generic principal string roles generic principal principal get roles for int i 0 i roles length i subject get principals add new generic principal null roles i null committed true return true ,phase 2 of authenticating a code subject code when phase 1 , checks whether the given string is a module
114,private double round first significant figure up double x return round first significant figure x 1 ,round the first significant figure up , computes the current round
115,public int state size return m components size ,the number of components in the page model , returns the number of events in the queue
116,public void set do activity output bindings array list effect output bindings this do activity output bindings do activity output bindings ,sets the output pin bindings for the state do activity procedure , sets the output pin bindings for the state exit procedure
117,public void set local boolean l local server l ,get the local value for this server , set whether to use this message
118,protected void process authentication int request throws messaging exception we need to authenticate but we don t have userid password information fail this immediately if username null password null throw new messaging exception server requires user authentication if request nntpreply authinfo simple required process authinfo simple else if process sasl authentication process authinfo user ,authenticate with the server if necessary or possible , process the login request with the current request
119,protected void add node property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui interruptible activity region node feature non nls 1 get string ui property descriptor description ui interruptible activity region node feature ui interruptible activity region type non nls 1 non nls 2 non nls 3 umlpackage literals interruptible activity region node true false true null null null ,this adds a property descriptor for the node feature , this adds a property descriptor for the is feature
120,private label make title print listener l new print listener public void prepare print event e label t label e get target page state s e get page state assert assert true m categories is selected s string key string m categories get selected key s big decimal cat id new big decimal key category cat cat new category new oid category type cat id t set font weight label bold t set label cat get name return new label l ,displays the appropriate category name , displays the appropriate message
121,public status get status logger debug in get status in class classname if this status null return new status this status get error message if no status object was stored in this error handler object return a ds error else return new status status server error internal an internal error has occurred ,return a status object which encapsulates the error including the , this method is called when the status is status
122,public void load page string url resource handler page m pages put url page ,loads a page into the page resolver cache , load the contents of the content section
123,public int get absolute units return absolute units ,returns the absolute units or 1 for none , return the character code from the code java code character code
124,public boolean is abstract return boolean get is abstract boolean value ,determines the current state of the category , returns true if this field is a valid
125,private void register reply handler final int message number final reply handler handler synchronized reply handler holders reply handler holders add last new reply handler holder handler message number ,registers a reply handler holder , register a new handler
126,protected void add nested node property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui node nested node feature non nls 1 get string ui property descriptor description ui node nested node feature ui node type non nls 1 non nls 2 non nls 3 umlpackage literals node nested node true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the nested node feature , this adds a property descriptor for the is replace feature
127,protected boolean java util gregorian calendar date return date is year date get calendar year ,determines if the given year is a year , is the date of the date
128,public string get internal rar return internal rar ,gets the value of the internal rar property , gets the value of the web method property
129,public void test init listener form invisible nested form inner form new form inner form inner form add init listener new form init listener public void init form section event fse fail init listener shouldn t run on invisible form box panel bp new box panel page add bp bp add inner form create form data bp inner form false assert true boxpanel invisible page state is visible bp assert true inner form visible page state is visible inner form ,verifies that init listeners dont run when the form is , verifies that init listeners that the form run will be added
130,public content item get index item content item item get direct index item if item null try item new browsable category get default parent category get index item catch category not found exception e this will rarely happen and when it does we just want to return null which is done below it would be much nicer if the categorization api just returned null instead of throwing the exception return item ,this returns the index item for the category , return the content item for the current item
131,public oid get oid return m data object get oid ,return the oid of this domain object , returns the current task
132,public string peek fourcc throws ioexception input mark 10 string result read fourccno advance restore the input stream input reset return result ,read four bytes from input and return as a string and , read a single byte from the input stream
133,public void append from me message message messages add element message broadcast message ,new message from the user , append a message to the message
134,public int get message count throws messaging exception return message count ,get the count of messages in this folder , return the number of messages in this folder
135,public tree map node get root return root ,get the root , gets the root tree
136,public boolean read digital pin pin return my pin value get pin index pin 0 ,is called to read the value true or false of a given pin , check if the received is a received
137,public properties get ui preferences return ui preferences ,get ui , returns the jsc project object used by this
138,public void put object key object value put key value this max age ,puts a new key value pair into the cache with default lifetime , adds an object to the cache
139,private void set name object name name this m bean name name ,method set name , sets the name of the item
140,public void set server address string m db server address this m server address m db server address ,sets the server address , sets the server address that is used for the provided connection
141,public dook rewind parser get token source rewind return this ,restarts the script without clearing its state , returns the stack
142,public string to string string buffer results new string buffer results append t device id device id n results append t ip address ip address n results append t community community n results append t name sys name n results append t description sys descr n results append t interfaces if number n results append t up time sys up time n results append t created date created n results append t monitored monitored n results append t removed removed n return results to string ,convert the device object into a printable string , returns a string representation of this object
143,public boolean write network network finger print string bar code geo position position barcode positions get bar code if position null return false set position position return finger print writer add ,write network , writes the specified code byte code to this output stream
144,public cgcolor create copy with alpha float alpha throw new runtime exception stub ,cgcolor ref cgcolor create copy with alpha cgcolor ref color cgfloat alpha , cgimage ref cgimage create with color cgimage ref image
145,public void set mapping type int type throw new runtime exception stub ,void set mapping type nsentity mapping type type , void set type type type type type
146,protected mouse listener create mouse listener return new handler ,creates the listener responsible for updating the selection based on , creates a new listener
147,public forumtags pk get forumtags pk return this forumtags pk ,gets the forumtags pk of this forumtags , gets the pair pk of this travel
148,public void add method observations list method observation method observations bulk addition of link invocation observation objects ,bulk addition of , add a new code put config code instance
149,public list get members return this members ,returns a list of project members , returns the list of the elements that is not already in the
150,public void set argument byte argument location int idx throw new runtime exception stub ,void set argument void argument location at index nsinteger idx , void set characters in set nsuinteger range
151,protected flow execution outcome get flow execution outcome return flow execution outcome ,returns the flow execution outcome that was reached , returns the flow execution that could not be used
152,public boolean is stored on phone return stored on phone ,checks if a contact is stored on phone , returns true if this is a no transaction
153,public exercice get current exercice return current exercice ,return the exercice as chosen by the user , gets the current state of this state
154,public string get content charset return super get content charset ,getter for text e mail part characterset , returns the content type of the content type
155,protected node exit apply token node throws parse exception return node ,called when exiting a parse tree node , called when exiting a parse tree node
156,public boolean is valid throw new runtime exception stub ,bool cllocation coordinate2 dis valid cllocation coordinate2 d coord , bool is equal to
157,private image get previous image boolean is facing right if is facing right return right images get frame count animation change else return left images get frame count animation change ,returns the last returned sprite image for the facing direction , returns the image of the image
158,public string get role field return null ,subclasses should override this method if they depend on a role field , gets the value of the role name property
159,private graph node insert class xmlvm resource resource string super type resource get super type name if we don t have a super type java lang object we are the root if super type null super type equals root set resource resource return root else find the base class in the tree and add as a child graph node super node get node super type graph node new node new graph node resource super node add new node return new node ,insert a class not an into the object hierarchy , finds a given link
160,public hash get hash return hash ,gets the value of the hash property , returns the hash code of this object
161,public void invalidate screen hotspot null clef shape null ,this is automatically called after the object is modified to force , this is automatically called after the object is modified to force
162,protected action link build view all link action link view all link new action link string globalization util globalize contenttypes ui mparticle view all sections localize view all link set class attr action link view all link add action listener new action listener public void action performed action event event only show component event get page state section table m type return view all link ,utility method to create a link to display the section list , returns the link to display the given link
163,public cfarray copy features throw new runtime exception stub ,cfarray ref ctfont copy features ctfont ref font , cfarray ref scnetwork service copy service scnetwork service ref service
164,public string get name return domains ,get the generally accepted name for this entity type , returns the name of this command
165,private int sql count string sql int count 1 if log is debug enabled log debug sql count sql is sql try cached row set rs sqlhelper execute result set sql if rs next count rs get int 1 rs close catch exception e log error sql count e get message if log is debug enabled log debug sql count count is count return count ,perform a sql query returning a scalar int value , return the number of result that have been added to
166,public void create group string group name todo look up if current server implementation returns result at all packet collector pc m connection create packet collector new packet type filter create group iq class create group iq cgi new create group iq cgi set from m connection get user cgi set to xmppcontroller get instance get mobilis guide broker cgi set group group name m connection send packet cgi cgi create group iq pc next result app callback create group ,creates a group on the server , create an entity in the group
167,protected void add lower value property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui multiplicity element lower value feature non nls 1 get string ui property descriptor description ui multiplicity element lower value feature ui multiplicity element type non nls 1 non nls 2 non nls 3 umlpackage literals multiplicity element lower value true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the lower value feature , this adds a property descriptor for the value feature
168,public object set property string key string value if this properties contains key key this properties remove key return properties set property key value ,sets a property key value pair replaces a pair with the same key , sets the property value with the key code key code and parses it
169,public boolean can set session preset string preset throw new runtime exception stub ,bool can set session preset nsstring preset , bool is set for session nsstring key
170,public int get lon mm return lon mm ,gets the minutes mm of the longitude ddd mm ss , gets the value of the latitude ddd property
171,public void set javabean javabean value this javabean value ,sets the value of the javabean property , sets the value of the connector property
172,public boolean is gesture in progress for most cursor tools the presence of the shape on the screen indicates that the user is making a gesture an exception however is snap indicator tool it provides its own implementation of this method jon aquino return is shape on screen ,used by or composite tool to determine whether a cursor tool is busy , checks if is a x
173,public int get selected index int view row get selected row return view row 0 convert row index to model view row 1 ,returns the model index of the selected row if any , gets the selected index
174,public boolean has player confirmed synchronized this return confirmed null ,checks for player confirmed , checks whether the player is active
175,public enumeration get resources url source string name return new resource enumeration new url source name false ,gets all resources with given name at the given source url , finds all resources with given name at the given search path
176,public void set activation config activation config type value this activation config value ,sets the value of the activation config property , sets the value of the activation config property
