,Function,Original Comment,Predicted comment
101,public void accept form visitor visitor throws ioexception visitor visit file this ,callback method for rendering this file widget in a visitor , adds a new element to the list of known listeners
102,public string get form end html meta class mclass return ,not used in jsp return , returns the form label
103,public rectangle parse rectangle string string string delimeter string tokenizer st new string tokenizer string delimeter int result new int st count tokens for int i 0 i result length i result i integer parse int st next token return new rectangle result 0 result 1 result 2 result 3 ,parses a rectangle from a string given the of the upper left , returns a string representation of this object
104,public boolean is ready synchronized this return is connected double is na n setting value double is na n lower limit double is na n upper limit ,determine if this element is ready i , returns true if the first value is a valid
105,private client connection cstub connect to client cefxclient client client connection cstub connection null connection new client connection cstub jabber client get instance connection set target client get connection string connection set thread id client get thread id return connection ,creates an rpc stub to initiate message calls to a client , get the connection connection
106,private jbutton get if j null j new jbutton j set bounds new rectangle 100 198 90 20 j set text me j add action listener new java awt event action listener public void action performed java awt event action event e operaciones return j ,this method initializes j , this method initializes j j box
107,public void init perform initializations inherited from our superclass super init perform application initialization that must complete before managed components are initialized editor fold defaultstate collapsed desc managed component initialization initialize automatically managed components note this logic should not be modified try init catch exception e log attended initialization failure e throw e instanceof faces exception faces exception e new faces exception e editor fold perform application initialization that must complete after managed components are initialized get session bean1 get organized by data provider refresh list get session bean1 get attended data provider refresh list ,p callback method that is called whenever a page is navigated to , p callback method that is called whenever a page is navigated to
108,public void init image upload form section event event form data data event get form data page state state event get page state image asset image image asset m sel image get selected object state m current image set visible state false m image display set visible state false if image null data put m name caption image get description m current image set visible state true m image display set visible state true ,initialise the caption text field , this is the label method
109,public int accessibility element count throw new runtime exception stub ,nsinteger accessibility element count , osstatus augraph is called in graph boolean is nsuinteger
110,protected void refresh occurance throws throwable db table model get tbl occurance get model set all org tcotool model cost driver get object get occurrance get txt sum occurance set text org tcotool tools calculator calculate occurance total get object ,refresh site , refresh the table
111,public void time conversion changed time model sender ,event indicating that the time conversion of the time model sender has changed , time the time of the event
112,private void load images url z test pattern url this get class get resource resource image test pattern if z test pattern url null my test pattern new image icon z test pattern url ,this method loads any images needed by the jsvideo object e , load the url from the given url
113,public void close throws xmlstream exception this writer close ,closes underlying writer , close the close
114,public void remove person long person id throws data exception person person find person by id person id if person null person set voided true session session thread properties get session session update person set company persons core service locator get company service find company persons for person person iterator iter company persons iterator while iter has next company person company person company person iter next company person set voided true core service locator get company service update company person company person ,remove person by , removes a unit from the unit
115,public void paint writer writer throws ioexception if is valid for painting throw new ioexception ,paint the component , paint the given document as an xml stream
116,public int get sample count return samples length ,get the number of samples in the waveform , returns the number of messages
117,public time course panel time course display frame f int x pos int y pos super this f f this x pos x pos this y pos y pos paint on false this add mouse listener new mouse adapter override public void mouse clicked mouse event e handle mouse clicked e ,constructs a new panel passing the frame as the parameter , returns the paint used to display the game
118,public void action performed action event e action performed string cmd e get action command if cmd equals done quit true else if cmd equals cancel quit false action performed ,action performed handle button clicks , gets executed when the object that contains this action listener
119,protected void apply yaxis major ticks try string text y axis divisions field get text int num ticks integer parse int text 1 don t change the value unless the user does to avoid inadvertantly changing from autoscale if num ticks 2 toolkit get default toolkit beep else if num ticks chart adaptor get ynum major ticks chart adaptor set ynum major ticks num ticks catch number format exception excpt toolkit get default toolkit beep ,apply the y axis tick spacing , apply the scale axis to the specified amount
120,public void set content encoding string encoding super set content encoding encoding ,setter for content encoding , sets the content of the content item
121,public void set person opinion person person double opinion throws illegal argument exception if person person1 set person1 opinion opinion else if person person2 set person2 opinion opinion else throw new illegal argument exception invalid person person ,sets one of the two peoples opinion of the other , sets the person
122,public boolean connection should use credential storage nsurlconnection connection throw new runtime exception stub ,bool connection should use credential storage nsurlconnection connection , bool connection connection connection connection connection connection connection connection connection connection
123,public void add row list tree row rows add row m children size rows ,adds the specified , add a row to the table
124,public boolean get outlay panel state return is enabled ,returns the outlay panel state calls the is enabled method of jpanel , returns the boolean state of the state
125,public void set closing company closing company closing company this closing company closing company ,sets the closing company of legal points , sets the number of deal point
126,public float get lon rad return math to radians get lon deg ,gets the longitude in radiants , gets the value of the longitude property
127,public void output file xml file bpx output stream out throws exception object bp create business process xml file bpx system out println bp object output stream os new object output stream out os write object bp os close ,create bpx and save it to a specified outputstream , load the given file
128,public void set attributes multiplicity string name string attribute props a name to attr get name string old text create attr text a a multiplicity attributes figure replace line old text create attr text a a static a visibility ,set the multiplicity of an existing attribute , set the value of a named attribute
129,public void set international currency symbol string string throw new runtime exception stub ,void set international currency symbol nsstring string , void set string nsstring string
130,public boolean inside double x double y double z if x 0 x columns y 0 y rows z 0 z slices return true else return false ,return true if coordinates are inside block false otherwise , returns true if the specified point is visible
131,public void merge flags response response throws messaging exception if response null available flags response get flags ,merge in the flags response from an examine or , adds a new algorithm to the client
132,override protected void customize commands final commander commander final action inspector action new abstract action inspect view icon lib get icon general gif public void action performed final action event event inspect selection view tree commander register action inspector action final action display view palette action new abstract action display view palette icon lib get icon development gif public void action performed final action event event view palette display default palette about bricks window this commander register action display view palette action code assistant new code assistant code assistant register actions commander ,register actions for the custom menu items , p called when the object is selected
133,public void set selection state category dataset selection state state this selection state state fire dataset changed new dataset change info todo fill in real change details ,sets the selection state for this dataset , set the selection state
134,public boolean page exists final string title throws ioexception fetch final string url query action query prop info titles title replace logurl url page exists check lag page exists final urlconnection connection new url url open connection set cookies connection cookies connection connect final buffered reader in new buffered reader new input stream reader new gzipinput stream connection get input stream return in read line index of missing 1 return boolean parse boolean parse and cleanup title true false ,determines whether a page exists , process the given url
135,protected object initial value page state state return null ,returns the value to be used during the request represented by , returns the value of the control
136,public class get extension class string localname if localname equals rdql try return class for name com nwalsh xslt rdql catch class not found exception e return null return null ,p return the class that implements a particular extension element , returns the class name of the content section
137,public void add value const sftime t add value sftime t owner field ,adds a feature to the value attribute of the mftime object , adds a feature to the value attribute of the mffloat object
138,public void set performative performative performative this performative performative ,sets the performative to the given value , set the field bg user
139,public void move to float x float y buffered image map commons world galaxy model map map rect set size int map get width zoom int map get height zoom map rect x int math max 0 math min x zoom width 2 map rect width width map rect y int math max 0 math min y zoom height 2 map rect height height ,scroll the view to the given map coordinates , calculates the centroid of the surface
140,public int get default transaction isolation throws sqlexception if this conn supports isolation level return java sql connection transaction read committed return java sql connection transaction none ,whats the databases default transaction isolation level the values are , get the current user
141,public void start checkbox named node map nnm throws app toy exception jcheck box cb new jcheck box cb set text get attribute nnm label ctx control cb if get attribute nnm checked false equals true cb set selected true process event attributes nnm http apptoy sf net events string id get attribute nnm id null if id null presenter add control id new acheckbox cb process control attributes component ctx control nnm ,creates a , creates and adds a control control
142,private double exit rover double time try time exit airlock time rover get airlock add experience points add experience time catch exception e person unable to exit airlock end task if exited airlock take container for collecting samples if available if has specimen container take container set phase exploring return time ,perform the exit rover phase of the task , perform the exit airlock phase of the task
143,public void log event string standard string classifier if standard null classifier null return standard events add standard classifier events add classifier ,records a prediction and what the prediction should have been , event indicating that a new trial has been modified
144,public void test get option value by label system out println get option value by label string option option value controller contract types string key full time option value controller instance new option value controller option value result instance get option value by label option key assert not null result ,test of get option value by label method of class org , test for the getter of the property
145,private wmservice pool wmscapabilities capabilities throws exception super set max instances 20 debug debug method begin this capabilities capabilities debug debug method end ,private constructor to the singleton pattern , returns a random orders that is a substring of the
146,public double get syllables per word in file if counting fragments return double syllables in file double words in file else return double syllables in file not including fragments double words in file not including fragments ,calculates and returns the number of the average number of syllables per , returns the number of files in the current document
147,public string get submission agreement return this submission agreement ,returns the submission agreement property value , gets the value of the web property
148,synchronized public int get row count return parameters length ,get the number of rows in the table , get the row count
149,public void show string media url object player player windows get media url if player null player window player show ,should make the window visible reopening the media stream if needed , show the current page
150,public void set restfulorder collection restfulorder converter items this items items ,sets a collection of converter , set the collection of collection
151,private void rename object get tre navigation start editing at path get tre navigation get selection path ,switch selected node into editing mode , p called when the object is modified to the current
152,protected string get field name for custom value int value value parameter must be available for subclasses return null ,function returning a field name for a custom value , returns the name of the attribute
153,public string get not included return not included ,getter method for the namesake variable simply return the namesake , gets the value of the web property
154,public color space get color space if cs null cs color space get instance color space cs s rgb return cs return null ,returns the code color space code of this code color code , returns the color color of the color
155,public void set optics url spec final string url spec optics url spec url spec ,set the optics url spec , set the url of the url
156,private void clear for neuron neuron neuron clear ,clears the cached activity values , clear all clear the clear
157,public void action performed action event event if event get source equals close btn this dispose close the dialog box ,this is called when an action is performed on the dialog , gets executed when the object that contains this action listener
158,public static class util private static service def target target private static dashboard uiservice async instance public static dashboard uiservice async get instance if instance null instance dashboard uiservice async gwt create dashboard uiservice class target service def target instance target set service entry point gwt get module base url dashboard uiservice return instance public static void clear instance instance null target null ,utility class for simplifing access to the instance of async service , utility class for simplifing access to the instance of async service
159,public position get main position return main position ,get the position of the orb , gets the image position
